Household Key,Mail Responder,Motorcycle Indicator,Income,Credit Ranges,age,Number of Children,Num Vehicles Owned,FSV Services Purchased,Home Owner_Probable Home Owner,Home Owner_Probable Renter,Home Owner_Renter,Home Owner_nan,Dwelling Type_Multy-Family Apt,Dwelling Type_PO Box,Dwelling Type_Single-Family Home,Dwelling Type_nan,Education_Graduated School,Education_High School,Education_Some College,Education_Unknown,Education_nan,Gender_Male,Gender_Unknown,Gender_nan,Bought FSV,Total Cost
19412049.0,1,1,105.0,775.0,88.0,0.0,2,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,223.7
19430228.0,1,0,105.0,725.0,77.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.0
19432514.0,1,0,55.0,675.0,73.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0
19441190.0,1,1,100.55555555555556,797.2222222222223,80.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,311.5
19441906.0,1,1,155.0,754.1666666666665,83.6,0.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,161.0
19447374.0,1,1,45.0,671.875,84.0,0.0,2,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,318.0
19450829.0,1,1,75.0,739.2857142857142,70.0,4.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,345.0
19451836.0,1,1,95.0,675.0,68.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,170.7
19461364.0,1,0,75.0,668.75,81.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27.0
19490405.0,1,1,65.0,750.0,57.0,1.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,123.0
19494496.0,1,0,105.0,712.5,83.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.0
19505113.0,1,0,105.0,825.0,65.33333333333333,3.0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,147.0
19507772.0,1,0,95.0,675.0,96.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.0
19508872.0,1,1,105.0,725.0,68.75,0.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,159.0
19534137.0,1,1,65.0,725.0,74.0,0.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,210.85
19571807.0,1,1,105.0,733.3333333333335,71.5,1.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,86.0
19577872.0,1,0,95.0,675.0,74.5,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0
19593345.0,1,1,105.0,763.4615384615387,66.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,352.0
19594864.0,1,0,105.0,695.0,57.33333333333334,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0
19600339.0,1,0,75.0,666.6666666666666,61.5,2.0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,60.0
19675615.0,1,0,105.0,775.0,77.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,58.85
19677880.0,1,1,105.0,665.0,80.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,106.0
19679694.0,1,1,105.0,687.5,71.0,2.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,299.0
19679740.0,1,0,95.0,641.6666666666666,61.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,159.0
19726905.0,1,1,15.0,737.5,78.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.0
19751741.0,1,1,65.0,685.0,91.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,119.0
19826912.0,1,0,75.0,725.0,93.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0
19837057.0,1,0,105.0,716.6666666666665,82.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.0
19839448.0,1,0,65.0,675.0,83.5,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,39.0
19842805.0,1,0,55.0,625.0,83.85714285714286,2.0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,280.85
19844108.0,1,1,205.0,712.5,83.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,58.85
19848281.0,1,0,25.0,675.0,73.0,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,27.0
19864092.0,1,0,105.0,712.5,75.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,53.0
19864648.0,1,1,95.0,625.0,86.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,53.0
19908801.0,1,0,95.0,675.0,52.5,1.0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,120.0
19917594.0,1,0,15.0,712.5,97.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0
19919379.0,1,1,95.0,825.0,65.8,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,136.0
19919688.0,1,0,45.0,675.0,86.0,1.0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,350.0
19921796.0,1,0,105.0,725.0,82.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,164.85
19922084.0,1,0,250.0,706.25,53.66666666666666,4.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,35.0
19941590.0,1,0,55.0,733.3333333333335,94.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,106.0
19989997.0,1,1,105.0,587.5,40.0,3.0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,136.5
19998934.0,1,1,95.0,725.0,83.0,1.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,171.28
20005147.0,1,1,10.0,675.0,67.0,0.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,247.28
20006918.0,1,1,250.0,803.125,41.714285714285715,1.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,166.0
20008863.0,1,1,155.0,625.0,73.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,87.0
20023961.0,1,0,35.0,712.5,91.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,106.0
20026929.0,1,1,65.0,593.75,77.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,176.55
20027811.0,1,1,95.0,712.5,82.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,58.85
20027934.0,1,1,55.0,612.5,92.0,1.0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,223.7
20074117.0,1,1,40.0,775.0,79.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,33.5
20079254.0,1,1,180.0,781.25,73.66666666666667,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,164.85
20081451.0,1,1,95.0,660.4166666666666,69.0,2.0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,525.85
20082394.0,1,1,55.0,675.0,63.5,1.0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,336.7
20083278.0,1,1,95.0,628.5714285714286,55.0,3.0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,242.0
20132316.0,1,1,105.0,743.75,48.0,2.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,139.43
20133401.0,1,0,75.0,712.5,94.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0
20145788.0,1,0,95.0,737.5,61.5,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0
20150967.0,1,1,75.0,675.0,71.0,1.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,82.0
20154595.0,1,1,95.0,672.3684210526316,75.0,2.0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,822.4000000000003
20162316.0,1,0,105.0,775.0,80.5,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,33.0
20162572.0,1,0,95.0,691.6666666666665,93.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0
20162930.0,1,0,105.0,662.5,64.5,1.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,53.0
20163202.0,1,0,65.0,725.0,85.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,106.0
20163404.0,1,1,82.5,700.0,63.0,1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,106.0
20163826.0,1,0,155.0,825.0,62.5,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
20164232.0,1,1,10.0,706.25,85.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90.85
