Household Key,Mail Responder,Motorcycle Indicator,Income,Credit Ranges,age,Number of Children,Num Vehicles Owned,FSV Services Purchased,Home Owner_Probable Home Owner,Home Owner_Probable Renter,Home Owner_Renter,Home Owner_nan,Dwelling Type_Multy-Family Apt,Dwelling Type_PO Box,Dwelling Type_Single-Family Home,Dwelling Type_nan,SC Vehicle Manufacturer Name_AUDI,SC Vehicle Manufacturer Name_BMW,SC Vehicle Manufacturer Name_BUICK,SC Vehicle Manufacturer Name_CADILLAC,SC Vehicle Manufacturer Name_CHEVROLET,SC Vehicle Manufacturer Name_CHRYSLER,SC Vehicle Manufacturer Name_DODGE,SC Vehicle Manufacturer Name_FORD,SC Vehicle Manufacturer Name_GEO,SC Vehicle Manufacturer Name_GMC,SC Vehicle Manufacturer Name_HONDA,SC Vehicle Manufacturer Name_HYUNDAI,SC Vehicle Manufacturer Name_INFINITI,SC Vehicle Manufacturer Name_ISUZU,SC Vehicle Manufacturer Name_JEEP,SC Vehicle Manufacturer Name_KIA,SC Vehicle Manufacturer Name_LAND ROVER,SC Vehicle Manufacturer Name_LEXUS,SC Vehicle Manufacturer Name_LINCOLN,SC Vehicle Manufacturer Name_MAZDA,SC Vehicle Manufacturer Name_MERCEDES-BENZ,SC Vehicle Manufacturer Name_MERCURY,SC Vehicle Manufacturer Name_MITSUBISHI,SC Vehicle Manufacturer Name_NISSAN,SC Vehicle Manufacturer Name_OLDSMOBILE,SC Vehicle Manufacturer Name_PLYMOUTH,SC Vehicle Manufacturer Name_PONTIAC,SC Vehicle Manufacturer Name_PORSCHE,SC Vehicle Manufacturer Name_RAM,SC Vehicle Manufacturer Name_SAAB,SC Vehicle Manufacturer Name_SATURN,SC Vehicle Manufacturer Name_SCION,SC Vehicle Manufacturer Name_SUBARU,SC Vehicle Manufacturer Name_SUZUKI,SC Vehicle Manufacturer Name_TOYOTA,SC Vehicle Manufacturer Name_VOLKSWAGEN,SC Vehicle Manufacturer Name_VOLVO,Education_Graduated School,Education_High School,Education_Some College,Education_Unknown,Education_nan,Gender_Male,Gender_Unknown,Gender_nan,Bought FSV,Total Cost
73421,1,0,0.35416666700000005,0.8338870429999999,0.641025641,0.0,0.0,0.035714286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0
93896,1,0,0.39583333299999995,0.709302326,0.705128205,0.0,0.095238095,0.035714286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,130.0
94927,1,0,0.020833333,0.33554817299999995,0.9487179490000001,0.166666667,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
106487,1,0,0.32916666699999997,0.7389653540000001,0.303418803,0.166666667,0.14285714300000002,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,178.7
115289,1,0,0.0625,0.418604651,0.884615385,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
115306,1,0,0.125,0.8338870429999999,0.7179487179999999,0.166666667,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
115351,1,0,0.35416666700000005,0.551495017,0.7307692309999999,0.166666667,0.047619048,0.071428571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,38.0
115430,1,0,0.0,0.8338870429999999,0.974358974,0.0,0.047619048,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,53.0
117430,1,0,0.35416666700000005,0.667774086,0.707264957,0.0,0.095238095,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,165.0
118068,1,0,0.270833333,0.6262458470000001,0.205128205,0.0,0.047619048,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,53.0
